Gestionnaire,RaisonSociale,categ,info_categ,Commune,NomCommune,Pollution,PopLegaleTotale,
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31028,Aurignac,O,1244,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31029,Aurin,O,290,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31030,Ausseing,O,74,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31031,Ausson,O,562,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31032,Aussonne,O,6009,1
31033000A,COMMUNE D'AUTERIVE ,2A01,Communes du bassin,31033,Auterive,O,8858,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31033,Auterive,O,8858,0
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31034,Auzas,O,183,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31035,Auzeville Tolosane,O,3124,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31036,Auzielle,O,1378,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31037,Avignonet Lauragais,O,1288,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31038,Azas,O,514,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31039,Bachas,O,67,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31040,Bachos,O,27,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31041,Bagiry,O,84,1
