Gestionnaire,RaisonSociale,categ,info_categ,Commune,NomCommune,Pollution,PopLegaleTotale,
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31320,Marquefave,O,1097,0
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31321,Marsoulas,O,148,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31322,Martisserre,O,65,1
31247001A,S.A.E.P. DE LA PLAINE DE RIVIERE ,3D04,"Syndicat d'assainisement, eau potable",31323,Martres de Rivière,O,375,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31324,Martres Tolosane,O,2285,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31325,Mascarville,O,206,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31326,Massabrac,O,76,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31327,Mauran,O,176,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31328,Mauremont,O,310,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31329,Maurens,O,208,1
31206001A,S.I. DES EAUX DE LA RIVE GAUCHE DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31330,Mauressac,O,395,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31331,Maureville,O,300,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31332,Mauvaisin,O,241,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31333,Mauvezin,O,74,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31334,Mauzac,O,1072,1
31334000A,COMMUNE DE MAUZAC ,2A01,Communes du bassin,31334,Mauzac,O,1072,0
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31335,Mayrègne,O,25,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31336,Mazères sur Salat,O,610,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31336,Mazères sur Salat,O,610,0
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31337,Melles,O,111,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31338,Menville,O,510,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31339,Mérenvielle,O,480,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31340,Mervilla,O,258,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31341,Merville,O,4674,1
31342000A,COMMUNE DE MILHAS ,2A01,Communes du bassin,31342,Milhas,O,176,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31343,Mirambeau,O,56,1
31344000A,COMMUNE DE MIRAMONT DE COMMINGES ,2A01,Communes du bassin,31344,Miramont de Comminges,O,856,1
31206001A,S.I. DES EAUX DE LA RIVE GAUCHE DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31345,Miremont,O,1985,1
31288001A,S.I. DES EAUX DE LA RIVE DROITE DU TARN ,3D04,"Syndicat d'assainisement, eau potable",31346,Mirepoix sur Tarn,O,686,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31347,Molas,O,173,1
31348000A,COMMUNE DE MONCAUP ,2A01,Communes du bassin,31348,Moncaup,O,31,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31349,Mondavezan,O,781,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31350,Mondilhan,O,93,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31351,Mondonville,O,3509,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31352,Mondouzil,O,234,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31353,Monès,O,60,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31354,Monestrol,O,57,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31355,Mons,O,1432,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31356,Montaigut sur Save,O,1568,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31357,Montastruc de Salies,O,280,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31358,Montastruc la Conseillère,O,3151,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31359,Montastruc Savès,O,73,1
31360000A,COMMUNE DE MONTAUBAN DE LUCHON ,2A01,Communes du bassin,31360,Montauban de Luchon,O,473,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31361,Montaut,O,521,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31362,Montberaud,O,210,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31363,Montbernard,O,215,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31364,Montberon,O,2827,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31365,Montbrun Bocage,O,457,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31366,Montbrun Lauragais,O,562,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31367,Montclar de Comminges,O,76,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31368,Montclar Lauragais,O,207,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31369,Mont de Galié,O,43,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31370,Montégut Bourjac,O,118,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31371,Montégut Lauragais,O,462,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31372,Montespan,O,447,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31373,Montesquieu Guittaut,O,130,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31374,Montesquieu Lauragais,O,923,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31375,Montesquieu Volvestre,O,2840,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31376,Montgaillard de Salies,O,103,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31377,Montgaillard Lauragais,O,657,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31378,Montgaillard sur Save,O,78,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31379,Montgazin,O,176,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31380,Montgeard,O,436,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31381,Montgiscard,O,2117,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31382,Montgras,O,92,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31383,Montjoire,O,1163,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31384,Montlaur,O,1239,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31385,Montmaurin,O,233,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31386,Montoulieu Saint Bernard,O,179,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31387,Montoussin,O,114,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31388,Montpitol,O,388,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31389,Montrabé,O,3435,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31390,Montréjeau,O,2799,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31391,Montsaunès,O,439,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31392,Mourvilles Basses,O,64,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31393,Mourvilles Hautes,O,169,1
31555014C,LYONNAISE DES EAUX FRANCE ,9A01,Industriels,31394,Moustajon,O,179,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31395,Muret,O,24000,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31396,Nailloux,O,2386,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31397,Nénigan,O,56,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31398,Nizan Gesse,O,90,1
31399000A,COMMUNE DE NOE ,2A01,Communes du bassin,31399,Noé,O,2581,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31400,Nogaret,O,74,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31401,Noueilles,O,330,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31402,Odars,O,717,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31403,Ondes,O,841,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31405,Ore,O,113,2
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31406,Palaminy,O,829,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31407,Paulhac,O,1140,1
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31408,Payssous,O,93,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31409,Péchabou,O,1808,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31410,Pechbonnieu,O,3824,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31411,Pechbusque,O,834,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31412,Péguilhan,O,242,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31413,Pelleport,O,505,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31414,Peyrissas,O,101,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31415,Peyrouzet,O,96,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31416,Peyssies,O,470,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31417,Pibrac,O,8236,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31418,Pin Balma,O,949,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31419,Pin Murelet,O,188,1
31421002A,S.I.V.O.M. PLAINE ARIEGE-GARONNE ,3D04,"Syndicat d'assainisement, eau potable",31420,Pinsaguel,O,2627,1
31421002A,S.I.V.O.M. PLAINE ARIEGE-GARONNE ,3D04,"Syndicat d'assainisement, eau potable",31421,Pins Justaret,O,4552,1
31422000A,COMMUNE DE PLAGNE ,2A01,Communes du bassin,31422,Plagne,O,94,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31423,Plagnole,O,275,1
31149006A,SYNDICAT INTERCOMMUNAL D'EAU POTABLE DE L'OUEST TOULOUSAIN,3D04,"Syndicat d'assainisement, eau potable",31424,Plaisance du Touch,O,16314,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31425,Plan,O,458,1
31426000A,COMMUNE DE POINTIS DE RIVIERE ,2A01,Communes du bassin,31426,Pointis de Rivière,O,868,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31427,Pointis Inard,O,819,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31428,Polastron,O,62,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31428,Polastron,O,62,0
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31429,Pompertuzat,O,1975,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31430,Ponlat Taillebourg,O,579,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31431,Portet d'Aspet,O,74,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31432,Portet de Luchon,O,28,1
31157001A,S.I.V.O.M. DE LA SAUDRUNE ,3D04,"Syndicat d'assainisement, eau potable",31433,Portet sur Garonne,O,9891,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31433,Portet sur Garonne,O,9891,0
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31434,Poubeau,O,73,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31435,Poucharramet,O,846,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31436,Pouy de Touges,O,353,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31437,Pouze,O,99,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31438,Pradère les Bourguets,O,242,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31439,Préserville,O,615,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31440,Proupiary,O,69,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31441,Prunet,O,151,1
31206001A,S.I. DES EAUX DE LA RIVE GAUCHE DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31442,Puydaniel,O,393,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31443,Puymaurin,O,303,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31444,Puysségur,O,109,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31445,Quint Fonsegrives,O,4649,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31446,Ramonville Saint Agne,O,11870,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31447,Razecueillé,O,32,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31448,Rebigue,O,520,1
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31449,Régades,O,132,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31450,Renneville,O,480,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31450,Renneville,O,480,0
31555014C,LYONNAISE DES EAUX FRANCE ,9A01,Industriels,31451,Revel,O,9543,1
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31452,Rieucazé,O,48,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31453,Rieumajou,O,128,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31454,Rieumes,O,3339,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31455,Rieux Volvestre,O,2458,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31456,Riolas,O,52,1
31457000A,COMMUNE DE ROQUEFORT SUR GARONNE ,2A01,Communes du bassin,31457,Roquefort sur Garonne,O,787,1
31157001A,S.I.V.O.M. DE LA SAUDRUNE ,3D04,"Syndicat d'assainisement, eau potable",31458,Roques,O,3761,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31459,Roquesérière,O,689,1
31421002A,S.I.V.O.M. PLAINE ARIEGE-GARONNE ,3D04,"Syndicat d'assainisement, eau potable",31460,Roquettes,O,3560,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31461,Rouède,O,290,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31462,Rouffiac Tolosan,O,1741,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31463,Roumens,O,238,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31464,Sabonnères,O,288,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31465,Saccourvielle,O,13,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31466,Saiguède,O,696,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31467,Saint Alban,O,5664,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31468,Saint André,O,216,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31469,Saint Araille,O,147,1
31470000A,COMMUNE DE SAINT AVENTIN ,2A01,Communes du bassin,31470,Saint Aventin,O,97,1
31471001A,S.I. DES EAUX DE LA REGION DE ST BEAT ,3D04,"Syndicat d'assainisement, eau potable",31471,Saint Béat,O,398,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31472,Saint Bertrand de Comminges,O,261,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31473,Saint Cézert,O,346,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31474,Saint Christaud,O,263,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31475,Saint Clar de Rivière,O,1233,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31476,Saint Elix le Château,O,699,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31477,Saint Elix Séglan,O,42,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31478,Saint Félix Lauragais,O,1390,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31479,Saint Ferréol de Comminges,O,58,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31480,Sainte Foy d'Aigrefeuille,O,2008,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31481,Sainte Foy de Peyrolières,O,2001,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31482,Saint Frajou,O,184,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31483,Saint Gaudens,O,12142,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31484,Saint Geniès Bellevue,O,2198,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31485,Saint Germier,O,98,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31486,Saint Hilaire,O,1084,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31487,Saint Ignan,O,278,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31488,Saint Jean,O,10105,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31489,Saint Jean Lherm,O,362,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31490,Saint Jory,O,5082,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31491,Saint Julia,O,386,1
31286001A,S.I. DES EAUX DE LAVELANET ET ST JULIEN ,3D04,"Syndicat d'assainisement, eau potable",31492,Saint Julien sur Garonne,O,463,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31493,Saint Lary Boujean,O,120,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31494,Saint Laurent,O,162,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31495,Saint Léon,O,1067,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31496,Sainte Livrade,O,294,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31497,Saint Loup Cammas,O,1853,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31498,Saint Loup en Comminges,O,40,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31499,Saint Lys,O,8409,1
31500000A,COMMUNE DE SAINT MAMET ,2A01,Communes du bassin,31500,Saint Mamet,O,633,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31501,Saint Marcel Paulel,O,461,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31502,Saint Marcet,O,405,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31503,Saint Martory,O,862,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31504,Saint Médard,O,209,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31505,Saint Michel,O,328,1
31555014C,LYONNAISE DES EAUX FRANCE ,9A01,Industriels,31506,Saint Orens de Gameville,O,11128,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31507,Saint Paul sur Save,O,1290,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31508,Saint Paul d'Oueil,O,53,1
