city_code,city_name,population,lat,lng,public_gestion,price
31262, Lagarde ,300,43.341667,1.716667,1,0
31263, Lagardelle-sur-Lèze ,2483,43.416667,1.383333,1,0
31264, Lagrâce-Dieu ,414,43.333333,1.4,1,0
31265, Lagraulet-Saint-Nicolas ,223,43.783333,1.083333,1,1.413
31266, Lahage ,240,43.433333,1.066667,1,1.424
31267, Lahitère ,55,43.133333,1.2,1,1.3
31269, Lamasquère ,1255,43.483333,1.266667,1,1.424
31270, Landorthe ,965,43.133333,0.783333,0,1.342
31271, Lanta ,1568,43.566667,1.666667,1,1.325
31273, Lapeyrouse-Fossat ,2658,43.7,1.516667,0,1.115
31274, Larcan ,186,43.183333,0.716667,0,1.342
31275, Laréole ,138,43.733333,1.033333,1,1.413
31278, Latoue ,310,43.166667,0.783333,0,1.342
31279, Latour ,81,43.2,1.283333,1,1.3
31280, Latrape ,348,43.25,1.266667,1,1.3
31281, Launac ,1224,43.75,1.183333,1,1.413
31282, Launaguet ,7040,43.683333,1.45,0,1.115
31283, Lautignac ,283,43.383333,1.066667,1,1.424
31284, Lauzerville ,1201,43.55,1.566667,1,1.532
31285, Lavalette ,641,43.633333,1.6,1,1.325
31286, Lavelanet-de-Comminges ,562,43.25,1.116667,1,1.499
31288, Layrac-sur-Tarn ,328,43.833333,1.566667,1,2.136
31289, Lécussan ,296,43.15,0.5,0,1.342
31290, Lège ,43,42.866667,0.616667,1,0.717
31291, Léguevin ,8044,43.6,1.25,1,1.13
31292, Lescuns ,54,43.25,1.016667,0,1.342
31293, Lespinasse ,2464,43.716667,1.383333,0,1.115
31294, Lespiteau ,85,43.066667,0.766667,1,1.112
31295, Lespugue ,74,43.233333,0.666667,0,1.342
31296, Lestelle-de-Saint-Martory ,410,43.133333,0.916667,1,1.237
31298, Lez ,61,42.916667,0.7,1,1.224
31300, Liéoux ,125,43.15,0.766667,0,1.342
31301, Lilhac ,135,43.283333,0.816667,0,1.342
31302, Lodes ,282,43.166667,0.683333,0,1.342
31303, Longages ,2578,43.366667,1.25,1,1.424
31304, Loubens-Lauragais ,401,43.583333,1.783333,1,1.325
31305, Loudet ,242,43.15,0.566667,0,1.342
31306, Lourde ,100,42.983333,0.666667,0,1.342
31307, Lunax ,60,43.333333,0.683333,0,1.342
31308, Luscan ,65,43,0.616667,0,1.342
31309, Lussan-Adeilhac ,216,43.316667,0.95,1,1.424
31310, Lux ,331,43.433333,1.783333,1,1.325
31311, La Magdelaine-sur-Tarn ,1006,43.816667,1.55,0,1.726
31312, Mailholas ,41,43.25,1.266667,1,1.3
31313, Malvézie ,124,43,0.683333,1,1.165
31314, Mancioux ,431,43.15,0.95,1,1.242
31315, Mane ,1032,43.083333,0.95,1,1.197
31317, Marignac-Lasclares ,364,43.3,1.1,1,1.424
31318, Marignac-Laspeyres ,177,43.216667,0.95,0,1.342
31319, Marliac ,105,43.233333,1.466667,1,0
31320, Marquefave ,1097,43.316667,1.233333,1,1.3
31321, Marsoulas ,148,43.1,1,1,1.197
31322, Martisserre ,65,43.383333,0.883333,0,1.342
31323, Martres-de-Rivière ,375,43.083333,0.65,1,1.07
31324, Martres-Tolosane ,2285,43.2,1,0,1.342
31325, Mascarville ,206,43.55,1.75,1,1.325
31326, Massabrac ,76,43.233333,1.35,1,1.3
31327, Mauran ,176,43.183333,1.033333,1,1.092
31328, Maurémont ,310,43.45,1.683333,1,1.325
31329, Maurens ,208,43.466667,1.791667,1,1.325
31330, Mauressac ,395,43.316667,1.433333,1,0
31331, Maureville ,300,43.516667,1.7,1,1.325
31332, Mauvaisin ,241,43.35,1.55,1,0
31334, Mauzac ,1072,43.383333,1.266667,1,1.3
31335, Mayrègne ,25,42.833333,0.55,1,0
31337, Melles ,111,42.866667,0.766667,1,0
31338, Menville ,510,43.683333,1.2,1,1.413
31339, Mérenvielle ,480,43.633333,1.166667,1,1.413
31340, Mervilla ,258,43.516667,1.466667,1,1.532
31341, Merville ,4674,43.733333,1.316667,1,1.413
31342, Milhas ,176,42.983333,0.8,1,0
31343, Mirambeau ,56,43.4,0.883333,0,1.342
31344, Miramont-de-Comminges ,856,43.083333,0.75,1,0
31345, Miremont ,1985,43.366667,1.416667,1,0
31346, Mirepoix-sur-Tarn ,686,43.816667,1.583333,1,2.136
31347, Molas ,173,43.4,0.783333,0,1.342
31348, Moncaup ,31,42.983333,0.7,1,0
31349, Mondavezan ,781,43.233333,1.033333,1,1.424
31350, Mondilhan ,93,43.283333,0.7,0,1.342
31351, Mondonville ,3509,43.666667,1.283333,1,1.397
31352, Mondouzil ,234,43.633333,1.566667,1,1.325
31353, Monès ,60,43.416667,1.033333,1,1.424
31354, Monestrol ,57,43.333333,1.666667,1,0
31356, Montaigut-sur-Save ,1568,43.7,1.25,1,1.413
31357, Montastruc-de-Salies ,280,43.033333,0.9,1,1.197
31358, Montastruc-la-Conseillère ,3151,43.716667,1.6,0,1.726
31359, Montastruc-Savès ,73,43.35,1.016667,1,1.424
31360, Montauban-de-Luchon ,473,42.8,0.616667,1,0
31361, Montaut ,521,43.35,1.266667,1,1.3
31362, Montberaud ,210,43.15,1.15,1,1.3
31363, Montbernard ,215,43.3,0.766667,0,1.342
31364, Montberon ,2827,43.716667,1.483333,0,1.115
31365, Montbrun-Bocage ,457,43.133333,1.266667,1,1.3
31366, Montbrun-Lauragais ,562,43.45,1.533333,1,1.532
31367, Montclar-de-Comminges ,76,43.166667,1.016667,1,0
31368, Montclar-Lauragais ,207,43.366667,1.716667,1,0
31369, Mont-de-Galié ,43,42.983333,0.65,0,1.342
31370, Montégut-Bourjac ,118,43.283333,0.983333,1,1.424
