Departement,CodeINSEE,Nom commune,prix
31,31490,SAINT-JORY                                        ,1.6
31,31491,SAINT-JULIA                                       ,1.325
31,31492,SAINT-JULIEN-SUR-GARONNE                          ,1.499
31,31493,SAINT-LARY-BOUJEAN                                ,1.342
31,31494,SAINT-LAURENT                                     ,1.342
31,31496,SAINTE-LIVRADE                                    ,1.413
31,31497,SAINT-LOUP-CAMMAS                                 ,1.115
31,31498,SAINT-LOUP-EN-COMMINGES                           ,1.342
31,31499,SAINT-LYS                                         ,1.424
31,31501,SAINT-MARCEL-PAULEL                               ,1.325
31,31502,SAINT-MARCET                                      ,1.342
31,31503,SAINT-MARTORY                                     ,1.342
31,31504,SAINT-MEDARD                                      ,1.342
31,31506,SAINT-ORENS-DE-GAMEVILLE                          ,1.729
31,31507,SAINT-PAUL-SUR-SAVE                               ,1.413
31,31509,SAINT-PE-D'ARDET                                  ,1.342
31,31510,SAINT-PE-DELBOSC                                  ,1.342
31,31511,SAINT-PIERRE                                      ,1.325
31,31512,SAINT-PIERRE-DE-LAGES                             ,1.325
31,31513,SAINT-PLANCARD                                    ,1.342
31,31514,SAINT-ROME                                        ,1.325
31,31515,SAINT-RUSTICE                                     ,1.6
31,31516,SAINT-SAUVEUR                                     ,1.6
31,31517,SAINT-SULPICE-SUR-LEZE                            ,1.3
31,31518,SAINT-THOMAS                                      ,1.424
31,31519,SAINT-VINCENT                                     ,1.325
31,31520,SAJAS                                             ,1.424
31,31522,SALERM                                            ,1.342
31,31523,SALIES-DU-SALAT                                   ,1.197
31,31524,SALLES-ET-PRATVIEL                                ,1.185
31,31526,LA SALVETAT-SAINT-GILLES                          ,0.953
31,31527,LA SALVETAT-LAURAGAIS                             ,1.325
31,31528,SAMAN                                             ,1.342
31,31529,SAMOUILLAN                                        ,1.342
31,31530,SANA                                              ,1.342
31,31531,SARRECAVE                                         ,1.342
31,31532,SARREMEZAN                                        ,1.342
31,31533,SAUBENS                                           ,1.366
31,31534,SAUSSENS                                          ,1.325
31,31536,SAUX-ET-POMAREDE                                  ,1.342
31,31537,SAVARTHES                                         ,1.342
31,31538,SAVERES                                           ,1.424
31,31539,SEDEILHAC                                         ,1.342
31,31540,SEGREVILLE                                        ,1.325
31,31541,SEILH                                             ,1.397
31,31542,SEILHAN                                           ,1.342
31,31543,SENARENS                                          ,1.342
31,31544,SENGOUAGNET                                       ,1.112
31,31545,SEPX                                              ,1.342
31,31550,SOUEICH                                           ,1.112
31,31551,TARABEL                                           ,1.325
31,31552,TERREBASSE                                        ,1.342
31,31553,THIL                                              ,1.413
31,31554,TOUILLE                                           ,1.197
31,31555,TOULOUSE                                          ,1.431
31,31556,LES TOURREILLES                                   ,1.342
31,31557,TOURNEFEUILLE                                     ,0.983
31,31558,TOUTENS                                           ,1.325
31,31560,TREBONS-SUR-LA-GRASSE                             ,1.325
31,31561,L'UNION                                           ,1.115
31,31562,URAU                                              ,1.197
31,31563,VACQUIERS                                         ,1.6
31,31564,VALCABRERE                                        ,0.546
31,31565,VALENTINE                                         ,1.342
31,31566,VALLEGUE                                          ,1.325
31,31567,VALLESVILLES                                      ,1.325
31,31568,VARENNES                                          ,1.532
31,31569,VAUDREUILLE                                       ,1.325
31,31570,VAUX                                              ,1.325
31,31571,VENDINE                                           ,1.325
31,31573,VERFEIL                                           ,1.325
31,31574,VERNET                                            ,1.366
31,31575,VIEILLE-TOULOUSE                                  ,1.532
31,31575,VIEILLE-TOULOUSE                                  ,1.532
31,31577,VIGNAUX                                           ,1.413
31,31578,VIGOULET-AUZIL                                    ,1.532
31,31579,VILLARIES                                         ,1.726
31,31580,VILLATE                                           ,1.366
31,31582,VILLEFRANCHE-DE-LAURAGAIS                         ,1.325
31,31583,VILLEMATIER                                       ,1.726
31,31584,VILLEMUR-SUR-TARN                                 ,1.472
31,31585,VILLENEUVE-DE-RIVIERE                             ,1.342
31,31586,VILLENEUVE-LECUSSAN                               ,1.342
31,31587,VILLENEUVE-LES-BOULOC                             ,1.6
31,31588,VILLENEUVE-TOLOSANE                               ,1.09
31,31589,VILLENOUVELLE                                     ,1.325
31,31591,ESCOULIS                                          ,1.432
31,31592,LARRA                                             ,1.413
31,31593,CAZAC                                             ,1.342
