Y2RfQ0xMQUowMDF8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CLLAJ COMITE LOCAL LOGEMENT AUX JEUNES,Associations,23 rue Albanie Regourd,31000,TOULOUSE,20500,0,0
Y2RfREFNSUVSMDAxfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CLUB DAMIER TOULOUSAIN,Associations, ROUTE DE BEAUFORT,31470,STE FOY DE PEYROLIERES,3000,0,0
Y2RfUEVSR0FVRDAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CNL 31 CAMUS PERGAUD,Associations,24 PASSAGE ALBERT CAMUS,31100,TOULOUSE,1000,0,0
Y2RfQ09FVVIwMDR8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",COEUR METIS,Associations,2 IMPASSE FERETRA,31400,TOULOUSE,24000,0,0
Y2RfVElOVE9SRTAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",COLLECTIF DE LOCATAIRES DU TINTORET,Associations,30 CHEMINEMENT LE TINTORET,31100,TOULOUSE,3000,0,0
Y2RfQVJFTkVTMDA4fDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",COLLECTIF DES ARENES ROMAINES,Associations,107 AV ARENES ROMAINES,31300,TOULOUSE,2000,0,0
Y2RfUFJBREVUVDAwNHwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",COLLECTIF DES ASSOCIATIONS DES PRADETTES,Associations,3 PASSAGE JULIEN FORGUES APPT 21,31100,TOULOUSE,14600,0,0
Y2RfSERGUzAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",COLLECTIF HDFS,Associations,163 CHEMIN LANUSSE,31200,TOULOUSE,16000,0,0
Y2RfQU5JTUFUSTAwNnwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",COMITE D'ANIMATION GRAND SELVE,Associations,59 RUE DES VIGNES,31200,TOULOUSE,0,0,0
Y2RfSVpBUkRTMDAxfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",COMITE DE QUARTIER LES IZARDS 3 COCUS GRAND-SELVE,Associations,171 ROUTE DE LAUNAGUET,31200,TOULOUSE,0,0,0
Y2RfUEFQVVMwMDZ8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",COMITE DE QUARTIER PAPUS TABAR BORDELONGUE,Associations,5 RUE DU CANTAL,31100,TOULOUSE,750,0,0
